Vehicle Class Wise Fuel Data  of Assam ( Till Today ),,,
S No,                      Vehicle Class                       ,Fuel ,     TOTAL     
,,,
,,ELECTRIC(BOV),
1,AGRICULTURAL TRACTOR,2,2
2,BUS,15,15
3,DUMPER,1,1
4,E-RICKSHAW(P),"63,558","63,558"
5,E-RICKSHAW WITH CART (G),347,347
6,EXCAVATOR (NT),1,1
7,GOODS CARRIER,16,16
8,M-CYCLE/SCOOTER,"1,471","1,471"
9,M-CYCLE/SCOOTER-WITH SIDE CAR,2,2
10,MOTOR CAB,3,3
11,MOTOR CAR,191,191
12,THREE WHEELER (GOODS),51,51
13,THREE WHEELER (PASSENGER),237,237
14,TRACTOR (COMMERCIAL),4,4
15,TRAILER (AGRICULTURAL),7,7
16,TRAILER (COMMERCIAL),390,390
