Vehicle Class Wise Fuel Data  of Jharkhand ( Till Today ),,,
S No,                      Vehicle Class                       ,Fuel ,     TOTAL     
,,,
,,ELECTRIC(BOV),
1,BUS,5,5
2,E-RICKSHAW(P),"9,653","9,653"
3,E-RICKSHAW WITH CART (G),209,209
4,GOODS CARRIER,71,71
5,MAXI CAB,6,6
6,M-CYCLE/SCOOTER,"5,433","5,433"
7,MOPED,29,29
8,MOTOR CAB,69,69
9,MOTOR CAR,178,178
10,MOTORISED CYCLE (CC > 25CC),256,256
11,THREE WHEELER (GOODS),113,113
12,THREE WHEELER (PASSENGER),"1,359","1,359"
13,TRACTOR (COMMERCIAL),25,25
14,TRACTOR-TROLLEY(COMMERCIAL),7,7
15,TRAILER (COMMERCIAL),24,24
