Vehicle Class Wise Fuel Data  of Punjab ( Till Today ),,,
S No,                      Vehicle Class                       ,Fuel ,     TOTAL     
,,,
,,ELECTRIC(BOV),
1,AGRICULTURAL TRACTOR,79,79
2,ANIMAL AMBULANCE,1,1
3,BUS,5,5
4,E-RICKSHAW(P),"4,797","4,797"
5,E-RICKSHAW WITH CART (G),419,419
6,GOODS CARRIER,43,43
7,HARVESTER,2,2
8,MAXI CAB,5,5
9,M-CYCLE/SCOOTER,"6,532","6,532"
10,M-CYCLE/SCOOTER-WITH SIDE CAR,2,2
11,MOBILE WORKSHOP,1,1
12,MOPED,"1,177","1,177"
13,MOTOR CAB,13,13
14,MOTOR CAR,142,142
15,MOTORISED CYCLE (CC > 25CC),"1,958","1,958"
16,OMNI BUS,1,1
17,THREE WHEELER (GOODS),85,85
18,THREE WHEELER (PASSENGER),126,126
19,THREE WHEELER (PERSONAL),1,1
20,TRACTOR (COMMERCIAL),2,2
21,TRAILER FOR PERSONAL USE,3,3
